fold_id,feature,feature_group,gain_importance,split_importance
10,comp_365d_median_days_diff,rule_based_comparable,873925.7614822388,916.0
10,comp_365d_median_distance,rule_based_comparable,732281.8350219727,693.0
10,comp_365d_median_price,rule_based_comparable,803426.0332641602,623.0
10,comp_365d_nearest_distance,rule_based_comparable,799091.4928588867,818.0
10,comp_365d_nearest_price,rule_based_comparable,1074674.8007583618,913.0
10,comp_365d_std_price,rule_based_comparable,1246424.0162506104,1111.0
10,comp_365d_weighted_mean_price,rule_based_comparable,16814740.11882782,482.0
10,comp_730d_count,rule_based_comparable,0.0,0.0
10,comp_730d_mean_price,rule_based_comparable,48139381.60596466,610.0
10,comp_730d_median_age_diff,rule_based_comparable,1489700.6724853516,1165.0
10,comp_730d_median_area_diff_pct,rule_based_comparable,915301.5983886719,909.0
10,comp_730d_median_days_diff,rule_based_comparable,902820.4135284424,949.0
10,comp_730d_median_distance,rule_based_comparable,694960.8717498779,666.0
10,comp_730d_median_price,rule_based_comparable,2541447.8504486084,692.0
10,comp_730d_nearest_distance,rule_based_comparable,791201.2546081543,797.0
10,comp_730d_nearest_price,rule_based_comparable,2316362.5386657715,1015.0
10,comp_730d_std_price,rule_based_comparable,1705438.3247528076,1378.0
10,comp_730d_weighted_mean_price,rule_based_comparable,109856415.68418884,868.0
10,district,location_time,553387.468963623,417.0
10,district_count_180d,time_aware_market,1017090.4214401245,995.0
10,district_median_price_180d,time_aware_market,1365949.8671417236,891.0
10,district_median_price_365d,time_aware_market,1318788.2104949951,864.0
10,district_price_change_180_365,time_aware_market,846626.3822479248,973.0
